Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
TCP取样器,16579,10212,12204,17550,17894,18263,2000,18459,100.000%,896.88937,7.92,0.00
总体,16579,10212,12204,17550,17894,18263,2000,18459,100.000%,896.88937,7.92,0.00
